Network,Early_InflationRate,Mainnet_Date,FirstPriceData_Date,BTCRate_@FirstPriceDate,BTCRate_@FirstPriceDate+6Months,Change_BTCRate
cosmos,0.07,14/03/19,14/03/19,0.00165187,0.00030028,-0.818218141
livepeer,0.15,01/05/18,20/12/18,0.00242712,0.00087723,-0.63857164
iris,0.04,01/03/19,19/04/19,0.00002318,0.00000214,-0.907679034
algorand,0.07,11/06/19,21/06/19,0.00006761,0.00002797,-0.586303801
synthetix,0,19/03/18,14/03/18,0.00006052,0.00004133,-0.317085261
tezos (from first price),0,30/06/18,02/10/17,0.00044281,0.00038946,-0.120480567
tezos (from mainnet),0.055,30/06/18,02/10/17,0.00029161,0.000127,-0.564486815
