circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,yield,open,high,low,close,volume,market_cap
7038800,Horizen,0.074339,0.371697,-0.07521,2545756,0.36168,2019-08-05T12:00:17.368136,0.26854,7.7,7.93,7.26,7.44,2418275,52385027
7031687,Horizen,0.076692,0.38346,-0.08495,2542150,0.36153,2019-08-04T12:00:15.602417,0.26593,7.85,8.66,7.66,7.7,4654322,54199859
7024487,Horizen,0.075819,0.379097,-0.07954,2568352,0.36563,2019-08-03T12:00:43.616906,0.2694,6.72,8.65,6.54,7.85,4876368,55182695
7017350,Horizen,0.074433,0.372164,-0.07362,2578236,0.36741,2019-08-02T12:00:10.483890,0.27114,6.52,6.72,6.38,6.72,1768279,47197718
7010150,Horizen,0.078253,0.391264,-0.08509,2563018,0.36562,2019-08-01T12:00:11.710900,0.27288,6.87,6.87,6.45,6.52,1757664,45743736
7003075,Horizen,0.078783,0.393917,-0.08683,2546212,0.36358,2019-07-31T12:00:16.337694,0.27288,6.97,7.06,6.75,6.86,1293502,48071147
6995875,Horizen,0.073317,0.366586,-0.0692,2540368,0.36312,2019-07-30T12:00:15.244640,0.27201,7.04,7.06,6.96,6.97,848215,48817375
6988725,Horizen,0.072343,0.361714,-0.06715,2540698,0.36354,2019-07-29T12:00:16.603627,0.27027,7.48,7.48,6.94,7.04,1760203,49197455
6981550,Horizen,0.076421,0.382106,-0.08029,2550868,0.36537,2019-07-28T12:00:11.580434,0.27114,7.02,7.67,6.98,7.48,1811036,52235333
6974425,Horizen,0.079065,0.395326,-0.08838,2543156,0.36464,2019-07-27T12:00:20.477959,0.27201,7.76,7.81,6.99,7.02,1905859,49009580
