circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
2.44E+14,Cosmos,0.069922,0.069922,0.02391,1.79E+14,0.73216,2019-09-07T12:00:07.366141,2.44E+14,0.0955,2.05,2.29,2.04,2.18,146368019,414893698
2.44E+14,Cosmos,0.070112,0.070112,0.0244,1.78E+14,0.72865,2019-09-06T12:00:15.494159,2.44E+14,0.09622,1.95,2.25,1.94,2.04,133395732,389639446
2.44E+14,Cosmos,0.069901,0.069901,0.02446,1.77E+14,0.7276,2019-09-05T12:00:13.065484,2.44E+14,0.09607,2.05,2.05,1.91,1.95,113255491,371475988
2.44E+14,Cosmos,0.070256,0.070256,0.02449,1.78E+14,0.72829,2019-09-03T12:00:06.559717,2.44E+14,0.09647,2.12,2.22,2.12,2.16,127964524,412176574
2.44E+14,Cosmos,0.070234,0.070234,0.02445,1.78E+14,0.7286,2019-09-02T12:00:09.010180,2.44E+14,0.0964,2.14,2.17,2.07,2.12,117415985,404413303
2.44E+14,Cosmos,0.070213,0.070213,0.02443,1.78E+14,0.7287,2019-09-01T12:00:08.064605,2.44E+14,0.09635,2.04,2.23,2.01,2.14,110298864,407758260
2.44E+14,Cosmos,0.070415,0.070415,0.02451,1.78E+14,0.72855,2019-08-31T12:00:09.719690,2.44E+14,0.09665,2.16,2.17,2.01,2.04,107053453,388605920
2.44E+14,Cosmos,0.070424,0.070424,0.02461,1.77E+14,0.72776,2019-08-30T14:58:25.746105,2.44E+14,0.09677,2.17,2.23,2.11,2.16,99188202,411781269
2.43E+14,Cosmos,0.070794,0.070794,0.02442,1.78E+14,0.73029,2019-08-27T12:00:08.122425,2.43E+14,0.09694,2.62,2.64,2.5,2.56,123595893,488442591
2.43E+14,Cosmos,0.070994,0.070994,0.02445,1.78E+14,0.73054,2019-08-26T12:00:08.122904,2.43E+14,0.09718,2.63,2.7,2.59,2.62,103446660,500489628
2.43E+14,Cosmos,0.070932,0.070932,0.02449,1.78E+14,0.73008,2019-08-25T12:00:09.685833,2.43E+14,0.09716,2.7,2.74,2.61,2.62,104651642,499349869
2.43E+14,Cosmos,0.07098,0.07098,0.02437,1.78E+14,0.73116,2019-08-24T12:00:14.163145,2.43E+14,0.09708,2.7,2.74,2.61,2.7,106694697,514937893
2.43E+14,Cosmos,0.070882,0.070882,0.02453,1.78E+14,0.72964,2019-08-23T12:00:07.163866,2.43E+14,0.09715,2.72,2.76,2.59,2.7,129721582,515720515
2.43E+14,Cosmos,0.071084,0.071084,0.02479,1.77E+14,0.72807,2019-08-22T12:00:07.847285,2.43E+14,0.09763,2.65,2.74,2.57,2.72,102851813,518612507
2.43E+14,Cosmos,0.071041,0.071041,0.02493,1.77E+14,0.72679,2019-08-21T12:00:11.763928,2.43E+14,0.09775,2.87,2.88,2.6,2.65,130044350,505698204
2.43E+14,Cosmos,0.071152,0.071152,0.02496,1.77E+14,0.72686,2019-08-20T12:00:08.692132,2.43E+14,0.09789,2.91,2.93,2.78,2.89,120939299,550687053
2.43E+14,Cosmos,0.071208,0.071208,0.02512,1.76E+14,0.72574,2019-08-19T12:00:07.304306,2.43E+14,0.09812,2.99,2.99,2.81,2.91,120726904,554912060
2.43E+14,Cosmos,0.071155,0.071155,0.02512,1.76E+14,0.7256,2019-08-18T12:00:09.817891,2.43E+14,0.09806,2.91,2.99,2.87,2.98,104947554,567604545
2.43E+14,Cosmos,0.071208,0.071208,0.02518,1.76E+14,0.72528,2019-08-17T12:00:08.453000,2.43E+14,0.09818,2.95,2.95,2.84,2.9,100937146,553141768
2.43E+14,Cosmos,0.07125,0.07125,0.02503,1.77E+14,0.72661,2019-08-16T12:00:06.506302,2.43E+14,0.09806,2.95,3.02,2.83,2.92,128767169,556632355
