circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
9119238,Dash,0.034094,,,4921000,0.53963,2019-10-28T23:53:26.571391,,0.06318,71.76,75.94,71.72,72.26,272906938,659006422
9117534,Dash,0.034093,,,4922000,0.53984,2019-10-27T23:53:11.131506,,0.06315,70.75,73.26,69.54,71.76,260742874,654270107
9115851,Dash,0.034122,,,4912000,0.53884,2019-10-26T23:53:12.990384,,0.06332,70.38,73.7,68.37,70.73,322560996,644725479
9114142,Dash,0.034106,,,4923000,0.54015,2019-10-25T23:53:19.649429,,0.06314,63.36,70.36,63.26,70.36,281153017,641280988
9112439,Dash,0.034112,,,4929000,0.54091,2019-10-24T23:53:14.085843,,0.06306,63.17,63.63,62.05,63.31,194869718,576915741
9110743,Dash,0.034111,,,4933000,0.54145,2019-10-23T23:53:13.596002,,0.063,67.6,67.72,62.62,63.19,213776689,575671706
9109050,Dash,0.034117,,,4926000,0.54078,2019-10-22T23:53:21.444816,,0.06309,69.01,69.78,67.39,67.59,219451615,615696243
9107366,Dash,0.034127,,,4926000,0.54088,2019-10-21T23:53:23.376067,,0.0631,69.31,69.92,68.4,69.02,230907074,628601126
9105636,Dash,0.03415,,,4933000,0.54175,2019-10-20T23:53:15.251333,,0.06304,67.76,69.97,67.46,69.3,193642159,631038167
9103968,Dash,0.034149,,,4932000,0.54174,2019-10-19T23:53:27.482564,,0.06304,68.17,68.65,67.61,67.72,185203945,616545235
9102259,Dash,0.034153,,,4932000,0.54184,2019-10-18T23:57:34.783101,,0.06303,69.29,69.37,67.38,68.17,209379703,620470571
9085692,Dash,0.034217,,,4929000,0.5425,2019-10-17T23:55:36.822297,,0.06307,68.5,70.21,67.8,69.27,207219637,630378882
9103660,Dash,0.034117,0.075816,-0.01175,4916000,0.54,2019-10-16T23:52:54.392393,9103660,0.06318,71.65,71.8,67.33,68.5,234108416,623298827
9101936,Dash,0.034155,0.075899,-0.01196,4932000,0.54186,2019-10-15T23:52:52.913333,9101936,0.06303,71.32,73.02,70.99,71.65,232619259,651789258
9100262,Dash,0.03418,0.075955,-0.01161,4901000,0.53856,2019-10-14T23:52:40.605679,9100262,0.06347,70.87,71.78,70.59,71.32,214932952,648708282
9098562,Dash,0.034232,0.076071,-0.01198,4930000,0.54184,2019-10-13T23:52:47.228142,9098562,0.06318,71.13,72.14,70.81,70.91,218051256,644877127
9096869,Dash,0.034216,0.076035,-0.01207,4937000,0.54271,2019-10-12T23:52:48.725620,9096869,0.06305,70.48,72.61,70.43,71.11,221773195,646550853
9095170,Dash,0.03427,0.076156,-0.01212,4939000,0.54304,2019-10-11T23:52:45.023822,9095170,0.06311,72.8,73.29,70.44,70.5,220205963,640890170
9093458,Dash,0.034207,0.076016,-0.01214,4941000,0.54336,2019-10-10T23:52:52.289682,9093458,0.06296,74.02,74.49,70.94,72.8,255488611,661640315
